project_code,project_name,portfolio_cluster,status,start_char,end_char,match_score,mention_context,section_text,source_filename
2ES00069,Sisoneras 1,Brazatortas 2,1,5205,5292,100.0,"d of April. Expropriation for Sisoneras 1,2 is scheduled for May 22nd which is not RTB con","Sisoneras 1,2 is scheduled for May 22nd which is not RTB condition. 
Building License:",Weekly Report_CW16 - DEV.docx
2ES00070,Sisoneras 2,Brazatortas 2,1,5292,6106,100.0,"condition. 
Building License: Sisoneras 2 BL was received on 3th April. For Sisoneras 1 th","Sisoneras 2 BL was received on 3th April. For Sisoneras 1 the city hall is working to issue the BL before Easter, or just after. For Terrapower, we expect to have the BL by the end of April, municipal technicians are already working on it.
Private line easement Notarization: They will take place on 29th April.


Pipeline in Spain (Mid stage: DIA) 


1) All project schedules above reflect the latest date of the several plants in the cluster 
2) RTB dates in EPC schedule reflect the date when 100% of Dev. Activities (i.e. Expropriation) are finalized, but it is possible that construction can start earlier in the available land (except Tordesillas which has exceptional case)
3) For Sale-related contractual RTB dates, please refer the tables in [Expected date for RTB/CP completion in Spain] section

(Spain)",Weekly Report_CW16 - DEV.docx
2ES00069,Sisoneras 1,Brazatortas 2,1,5292,6106,100.0,"condition. 
Building License: Sisoneras 2 BL was received on 3th April. For Sisoneras 1 th","Sisoneras 2 BL was received on 3th April. For Sisoneras 1 the city hall is working to issue the BL before Easter, or just after. For Terrapower, we expect to have the BL by the end of April, municipal technicians are already working on it.
Private line easement Notarization: They will take place on 29th April.


Pipeline in Spain (Mid stage: DIA) 


1) All project schedules above reflect the latest date of the several plants in the cluster 
2) RTB dates in EPC schedule reflect the date when 100% of Dev. Activities (i.e. Expropriation) are finalized, but it is possible that construction can start earlier in the available land (except Tordesillas which has exceptional case)
3) For Sale-related contractual RTB dates, please refer the tables in [Expected date for RTB/CP completion in Spain] section

(Spain)",Weekly Report_CW16 - DEV.docx
2ES00027,Clave 1,Tordesillas 2,1,6106,7654,100.0,"ion in Spain] section

(Spain) Tordesillas A2 105MW
Clave BL (Becero Municipality required","Tordesillas A2 105MW
Clave BL (Becero Municipality required the AUESR permit for the BL, but since AUESR no longer exists, this is causing delays. After meetings with the mayor and secretary on April 9th and 10th, positive communication was restored. The mayor is now supportive of issuing the BL quickly, while the secretary insists on AUESR inscription. However, we hope that the mayor's support should help expedite the process. Once the expropriation deed is registered on April 29th and payments are made, the BL can be issued without waiting for final inscription in the Land Registry. If all goes as planned, the BL could be issued by mid-May.  

Gridco (Phase 1): Gridco (Phase 1): One of the promoters, BRUC (22.2%), is facing issues with the issuance of their private plants’ DUP. BRUC is demanding a financial agreement until January 2026. The promoters have requested detailed information about BRUC’s development issues to analyze the situation, but so far, we’ve only been informed that their DUP is delayed, which is affecting their AAE.
A meeting with Gridco on April 11th resulted in an agreement to enforce economic provisions for EPC and transformer payment milestones. If Bruc fails to pay by April16th, Gridco can issue a formal non-fulfillment notice, giving Bruc 20 business days to resolve the issue. If unresolved, a 100% penalty on the debt will be imposed. Future missed payments will incur additional penalties. We can either keep Bruc in the Gridco with the accumulating debt or eject them from the agreement.

(Spain)",Weekly Report_CW16 - DEV.docx
2ES00025,Iron 1,Tordesillas 2,1,6106,7654,100.0,"ion in Spain] section

(Spain) Tordesillas A2 105MW
Clave BL (Becero Municipality required","Tordesillas A2 105MW
Clave BL (Becero Municipality required the AUESR permit for the BL, but since AUESR no longer exists, this is causing delays. After meetings with the mayor and secretary on April 9th and 10th, positive communication was restored. The mayor is now supportive of issuing the BL quickly, while the secretary insists on AUESR inscription. However, we hope that the mayor's support should help expedite the process. Once the expropriation deed is registered on April 29th and payments are made, the BL can be issued without waiting for final inscription in the Land Registry. If all goes as planned, the BL could be issued by mid-May.  

Gridco (Phase 1): Gridco (Phase 1): One of the promoters, BRUC (22.2%), is facing issues with the issuance of their private plants’ DUP. BRUC is demanding a financial agreement until January 2026. The promoters have requested detailed information about BRUC’s development issues to analyze the situation, but so far, we’ve only been informed that their DUP is delayed, which is affecting their AAE.
A meeting with Gridco on April 11th resulted in an agreement to enforce economic provisions for EPC and transformer payment milestones. If Bruc fails to pay by April16th, Gridco can issue a formal non-fulfillment notice, giving Bruc 20 business days to resolve the issue. If unresolved, a 100% penalty on the debt will be imposed. Future missed payments will incur additional penalties. We can either keep Bruc in the Gridco with the accumulating debt or eject them from the agreement.

(Spain)",Weekly Report_CW16 - DEV.docx
2ES00015,Greencar 1,Carmona,1,7654,8430,100.0,"m from the agreement.

(Spain) Carmona 102.9 MW
Compensatory measure land: We have had a m","Carmona 102.9 MW
Compensatory measure land: We have had a meeting with the Environmental department to discuss how to proceed with compensatory measures. RIC will hire a company to re-contact all owners. The Environmental Department has acknowledged the signing issue with the owners and assured us that they are going to collaborate with us as much as possible. Also, they confirmed that we should not be concerned if we are unable to have all the land signed by June.

(Spain) Brovales 52.9 MW
 Industry has issued the new AAC modification.
The CFO was signed on April 4 and the AAE has been requested on April 7.
(Spain) Zaratan 95.88 MW
The definitive occupation deeds for the expropriation were correctly signed between April 9th and April 10th.
Pipeline in Portugal

*",Weekly Report_CW16 - DEV.docx
2ES00016,Greencar 2,Carmona,1,7654,8430,100.0,"m from the agreement.

(Spain) Carmona 102.9 MW
Compensatory measure land: We have had a m","Carmona 102.9 MW
Compensatory measure land: We have had a meeting with the Environmental department to discuss how to proceed with compensatory measures. RIC will hire a company to re-contact all owners. The Environmental Department has acknowledged the signing issue with the owners and assured us that they are going to collaborate with us as much as possible. Also, they confirmed that we should not be concerned if we are unable to have all the land signed by June.

(Spain) Brovales 52.9 MW
 Industry has issued the new AAC modification.
The CFO was signed on April 4 and the AAE has been requested on April 7.
(Spain) Zaratan 95.88 MW
The definitive occupation deeds for the expropriation were correctly signed between April 9th and April 10th.
Pipeline in Portugal

*",Weekly Report_CW16 - DEV.docx
2ES00017,Greencar 3,Carmona,1,7654,8430,100.0,"m from the agreement.

(Spain) Carmona 102.9 MW
Compensatory measure land: We have had a m","Carmona 102.9 MW
Compensatory measure land: We have had a meeting with the Environmental department to discuss how to proceed with compensatory measures. RIC will hire a company to re-contact all owners. The Environmental Department has acknowledged the signing issue with the owners and assured us that they are going to collaborate with us as much as possible. Also, they confirmed that we should not be concerned if we are unable to have all the land signed by June.

(Spain) Brovales 52.9 MW
 Industry has issued the new AAC modification.
The CFO was signed on April 4 and the AAE has been requested on April 7.
(Spain) Zaratan 95.88 MW
The definitive occupation deeds for the expropriation were correctly signed between April 9th and April 10th.
Pipeline in Portugal

*",Weekly Report_CW16 - DEV.docx
2PT00014,Ourique_PV1,Ourique,1,8430,10115,100.0,"10th.
Pipeline in Portugal

* Ourique_PV1 : Since CL is rejected by the municipality and p","Ourique_PV1 : Since CL is rejected by the municipality and process likely starts again the schedule has been adjusted adding another 30 working days


(Portugal) OURIQUE_PV1+2 (Direct Nego 164.4MVA / 173.6+36.8MWp)
Const. License (PV1): CL has been rejected citing minor correction and signatures required / Since there is no respond on the request and contact for appealing process we are now about to start CL process again
Easements(PV1): Contract with Rui Viegas approved and will be signed this week – 100k€ for 5 poles; the remaining are ongoing
EAP(PV2): we are pushing to get the EAP ready this week
Guarantee for Justina Souza – Treasury is preparing the issuance

(Portugal) OURIQUE_Wind (Direct Negotiation hybrid 85.5MW)
Update on land status – Environmental consultants and Engineering team visited the site and found some restrictions; based on their analysis only 13 WTGs can be installed and now the developer is securing more land nearby in a area without restrictions (Brown color shows the restricted area)

Installing met mast and lidar: Once land is secured CL for Met mast will be submitted and some lidars installed

(Portugal) DIVOR PV1+2 (Direct Nego 202.8MVA / 228MWp)
Construction License (PV1):  Documentation ready and to be submitted
Establishment License (PV1): Once environmental consultant’s confirmation is given Establishment License to be requested to DGEG/TSO 

(Portugal) DIVOR Wind (Direct Nego hybrid 85.5MW)
Land: LLA(numbered 1) draft finalized and sent to landlord


(Portugal) PEGÕES PV1+2 (Direct Nego 202.8MVA / 219.7+33.8MWp)
Land (PV2): Additional land proposed(below) could cover some of WTGs as well as whole PV2 capacity


(Portugal)",Weekly Report_CW16 - DEV.docx
5PT00005,Ferreira_BESS,Ferreira,1,10115,10272,100.0,"ole PV2 capacity


(Portugal) Ferreira PV1 (Direct Nego 164.4MVA / 178.1MWp)
Land (PV2): E","Ferreira PV1 (Direct Nego 164.4MVA / 178.1MWp)
Land (PV2): EPC is conducting studies on layout to include PV2 in already secured land nearby PV1

(Portugal)",Weekly Report_CW16 - DEV.docx
