mention_text,start_char,best_csv_candidate,best_candidate_score,context_snippet,source_filename,reason
Brovales,8134,Cabrovales 1,70.0,"we are unable to have all the land signed by June.

(Spain) Brovales 52.9 MW
 Industry has issued the new AAC modification.
The CFO was signed on April 4 and the AAE has been reque",Weekly Report_CW16 - DEV.docx,below_threshold_or_not_in_csv
Zaratan,8279,Garwitz,42.857142857142854," April 4 and the AAE has been requested on April 7.
(Spain) Zaratan 95.88 MW
The definitive occupation deeds for the expropriation were correctly signed between April 9th and April",Weekly Report_CW16 - DEV.docx,below_threshold_or_not_in_csv
Searching for a land plot for a co-location ESS. Targeting,15915,Ferreira_Do_Alentejo_Wind,31.168831168831176," by the Municipality of Rende

(Italy) Anagni 1&2 (9.7MWp) 
Searching for a land plot for a co-location ESS. Targeting 10MW/40MWh ESS – searching is underway with our internal reso",Weekly Report_CW16 - DEV.docx,below_threshold_or_not_in_csv
"Capacity has been updated from 7.6MW to 8.4MW based on the Octopus’ validation on WTG.
6 projects",421,Fuente del Maestre_PV,22.608695652173907,"s report).

Wind
Development news
Renouvellement Grand Bois: Capacity has been updated from 7.6MW to 8.4MW based on the Octopus’ validation on WTG.
6 projects (110.4MW) have awarde",Weekly Report_CW16 - DEV.docx,below_threshold_or_not_in_csv
Repowering Lascombes,554,Terrapower Global,48.648648648648646,"dation on WTG.
6 projects (110.4MW) have awarded CRE tender: Repowering Lascombes (16.4 MW), Croix du Picq (18 MW), Champs Carres (18 MW), Noyer Berger (19.8 MW), Plo de Laurier (8",Weekly Report_CW16 - DEV.docx,below_threshold_or_not_in_csv
Croix du Picq,586,Ourique_PV1,33.33333333333333,"MW) have awarded CRE tender: Repowering Lascombes (16.4 MW), Croix du Picq (18 MW), Champs Carres (18 MW), Noyer Berger (19.8 MW), Plo de Laurier (8.8 MW) and Côte Renard (29.4 MW)",Weekly Report_CW16 - DEV.docx,below_threshold_or_not_in_csv
Champs Carres,609,Cabrovales 1,40.0,"nder: Repowering Lascombes (16.4 MW), Croix du Picq (18 MW), Champs Carres (18 MW), Noyer Berger (19.8 MW), Plo de Laurier (8.8 MW) and Côte Renard (29.4 MW).

Solar 
Development n",Weekly Report_CW16 - DEV.docx,below_threshold_or_not_in_csv
Noyer Berger,632,Terrapower Global,41.37931034482759,"bes (16.4 MW), Croix du Picq (18 MW), Champs Carres (18 MW), Noyer Berger (19.8 MW), Plo de Laurier (8.8 MW) and Côte Renard (29.4 MW).

Solar 
Development news
Chapus: Capacity ha",Weekly Report_CW16 - DEV.docx,below_threshold_or_not_in_csv
Plo de Laurier,656,IM 16 Bad Freienwalde,40.0,"Picq (18 MW), Champs Carres (18 MW), Noyer Berger (19.8 MW), Plo de Laurier (8.8 MW) and Côte Renard (29.4 MW).

Solar 
Development news
Chapus: Capacity has decreased from 4.77MW ",Weekly Report_CW16 - DEV.docx,below_threshold_or_not_in_csv
and Côte Renard,680,Fuente del Maestre_Wind,42.10526315789474,"res (18 MW), Noyer Berger (19.8 MW), Plo de Laurier (8.8 MW) and Côte Renard (29.4 MW).

Solar 
Development news
Chapus: Capacity has decreased from 4.77MW to 4.50MW as the decreas",Weekly Report_CW16 - DEV.docx,below_threshold_or_not_in_csv
